,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
40078,gdb_40079,C1OC11CC2CCC2C1,3.15881,1.34203,1.27668,1.8779,80.36,-0.2559,0.0702,0.3261,1098.765,0.184416,-387.075727,-387.067991,-387.067047,-387.108465,30.964
126141,gdb_126142,CCC(C)C1=CN=NO1,3.80259,0.9309,0.90204,4.1854,78.19,-0.2664,-0.0323,0.2341,1384.0255,0.158227,-419.20063,-419.191448,-419.190504,-419.23537,33.071
88802,gdb_88803,CC1OC1C1NCC1=O,3.18451,1.07494,0.88028,4.0216,73.8,-0.249,-0.029,0.22,1328.754,0.14595,-439.05193,-439.043003,-439.042059,-439.086645,32.21
54462,gdb_54463,NC(=O)C12CC1C1CN21,3.35309,1.45776,1.17216,3.1569,72.84,-0.231,0.0177,0.2488,1048.4264,0.136513,-417.958239,-417.950439,-417.949495,-417.990439,30.708
20133,gdb_20134,C1C2CC(C12)N1CC1,5.52272,1.38172,1.23186,0.8051,76.21,-0.2299,0.0911,0.321,1027.481,0.166559,-327.85986,-327.852702,-327.851758,-327.891351,28.08
19615,gdb_19616,OC1C2C3C(O)C1N23,2.93874,2.78543,1.87609,2.2818,59.23,-0.2594,0.0444,0.3037,726.6644,0.120645,-399.733334,-399.727082,-399.726137,-399.76335,25.241
133641,gdb_133642,C(CC=O)CC(F)(F)F,4.38127,0.57685,0.57279,1.7957,59.2,-0.2592,-0.0302,0.2291,1827.4505,0.118565,-569.413103,-569.403637,-569.402693,-569.44953,32.145
25592,gdb_25593,N=COCC1=CNC=N1,6.40014,0.77084,0.69096,2.0767,73.61,-0.2264,0.0208,0.2472,1544.8654,0.12571,-434.095943,-434.087435,-434.086491,-434.131916,29.286
7395,gdb_7396,COCC(C)C(C)C,3.56615,1.04641,0.85582,1.003,82.78,-0.25,0.0841,0.334,1442.1147,0.221019,-351.405563,-351.394802,-351.393858,-351.441485,38.52
79140,gdb_79141,CC1CC2C3C(O)C1N23,2.39672,1.89636,1.45482,1.6744,76.86,-0.236,0.0565,0.2924,989.2581,0.173215,-403.118533,-403.110807,-403.109863,-403.150233,31.279
